closed_date,stock_name,closed_price,closed_volume,news_id,news_date,news_title,news_desc
10/03/2017,AAPL,139.14,19612801.0,,,,
10/03/2017,GOOG,843.25,1704024.0,20170310-00668,10/03/2017,Alphabet Self-driving Car Unit Seeks Injunction Against Uber,Alphabet Self-driving Car Unit Seeks Injunction Against Uber
10/03/2017,GOOG,0,0,758960,10/03/2017,Why Excluding Snap From the S&amp;P 500 Is a Big Deal,Snap s NYSE SNAP decision to issue non voting shares through its IPO may already have cost it billions of dollars in investor support A group of institutional investors have approached stock index providers S amp P Dow Jones Indices and MSCI to bar the shares from becoming part
10/03/2017,GOOG,0,0,758919,10/03/2017,1 Top Small-Cap Stock to Buy Now,Small cap stocks can deliver explosive gains or sizable losses Choose well and these high risk yet potentially high reward stocks can deliver multibagger returns and turbocharge your portfolio s overall performance But choose poorly and a small cap stock can produce painful
10/03/2017,AMZN,852.46,2436434.0,759293,10/03/2017,How Best Buy Survived While RadioShack Has Been to Bankruptcy Court Twice,RadioShack has filed for bankruptcy protection for a second time with the company s owner immediately closing 200 stores and considering its options for the remaining 1 300 it owns At roughly the same time Best Buy NYSE BBY another electronics retailer has turned the
10/03/2017,AMZN,0,0,759040,10/03/2017,My 3 Biggest Stock Holdings,While I m a big believer in diversification and currently hold positions in more than 70 individual stocks my portfolio is actually more concentrated than you might assume In fact my top three holdings Amazon com NASDAQ AMZN Intuitive Surgical NASDAQ ISRG
09/03/2017,AAPL,138.68,22155904.0,,,,
09/03/2017,GOOG,838.68,1261517.0,,,,
09/03/2017,AMZN,853.0,2048187.0,,,,
08/03/2017,AAPL,139.0,18707236.0,,,,
08/03/2017,GOOG,835.37,989773.0,758153,08/03/2017,Why Alphabet and Microsoft Should Start Disclosing Cloud Revenue,Alphabet NASDAQ GOOG NASDAQ GOOGL is currently hosting its Google Cloud Next 17 developer conference which kicked off earlier today in San Francisco and runs through March 10 Speaking at the event Google CEO Sundar Pichai made it clear that he sees Google Cloud as an
08/03/2017,GOOG,0,0,758137,08/03/2017,Why Apple Inc. (AAPL) Stock Could Rise More Than 15%,InvestorPlace Stock Market News Stock Advice amp Trading Tips Can anything stop tech juggernaut Apple Inc NASDAQ AAPL With AAPL stock now trading at all time highs driven by its 27 one month rise investors want to know whether it s too late to bite Source
08/03/2017,GOOG,0,0,758055,08/03/2017,YouTube TV&#39;s Biggest Advantage,YouTube recently announced its plans to offer a live television streaming service to compete with the likes of DirecTV Now PlayStation Vue Sling TV and more traditional pay TV operators YouTube TV will include 40 live channels and will be initially available in select markets
08/03/2017,GOOG,0,0,758078,08/03/2017,Microsoft Corporation (MSFT) Stock Looks Overbought. It Isn’t.,InvestorPlace Stock Market News Stock Advice amp Trading Tips Few names in the markets have almost universal appeal 160 Microsoft Corporation NASDAQ MSFT is one of them Sure Apple Inc NASDAQ AAPL products have more appeal Alphabet Inc NASDAQ GOOG
