news_id,stock_name,news_date,news_title,news_desc
758969,AAPL,10/03/2017,Stocks to Buy: 3 Tech Stocks Paying Nice Dividends,Many of the best dividend stocks are found in sectors where the rate of change and disruption is slow sectors like consumer staples utilities and banks But there are some excellent dividend stocks in the tech sector too Apple NASDAQ AAPL IBM NYSE IBM
758925,AAPL,10/03/2017,Why Universal Display Corporation Stock Popped 28.6% in February,What happened Shares of Universal Display Corporation NASDAQ OLED jumped 28 6 in the month of February 160 according to data provided by S amp P Global Market Intelligence after the OLED specialist announced strong fourth quarter 2016 results and encouraging
758928,AAPL,09/03/2017,Thursday Apple Rumors: iPad Reveal Event May Take Place on April 4,InvestorPlace Stock Market News Stock Advice amp Trading Tips Leading the Apple Inc NASDAQ AAPL rumor mill today is a possible reveal date for new iPad devices Today we ll look at that and other Apple Rumors for Thursday
758904,AAPL,09/03/2017,Apple Inc. Should Thank WikiLeaks for Its CIA Reveal,InvestorPlace Stock Market News Stock Advice amp Trading Tips On Tuesday WikiLeaks released Vault 7 a huge collection of documents that reveal hacking tools used by the CIA While the dump paints the CIA in an unflattering light the fallout may well be worse for some of the world
758870,AAPL,09/03/2017,"After Hours Most Active for Mar 9, 2017 :  QQQ, ABEV, RAI, FB, STM, AAPL, VIP, VIPS, GE, FNSR, TWX, CBOE",The NASDAQ 100 After Hours Indicator is down 1 05 to 5 362 93 The total After hours volume is currently 28 868 587 shares traded The following are the most active stocks for the after hours session PowerShares QQQ Trust Series 1 QQQ is 0 1 at 130 94 with 2 273
758785,AAPL,09/03/2017,Can You Beat the S&amp;P 500 at Its Own Game?,The S amp P 500 is the benchmark for most investors The important stock index consists of 500 of the largest companies that are listed on the NYSE or the Nasdaq and securities are weighted in the benchmark by market capitalization levels Currently top stocks in the benchmark include
758811,AAPL,09/03/2017,Short International Business Machines Corp. (IBM) Stock For Free,InvestorPlace Stock Market News Stock Advice amp Trading Tips I have been a long time critic of International Business Machines Corp NYSE IBM The problem is for the past 12 months Wall Street hasn t shared my opinion and IBM stock has been on fire Source
758809,AAPL,09/03/2017,Alphabet Inc (GOOGL) Is Betting BIG on Google Cloud in 2017,InvestorPlace Stock Market News Stock Advice amp Trading Tips Cloud services are a big business that is only getting bigger When you think of the cloud the one company that tends to immediately come to mind is Amazon com Inc NASDAQ AMZN if for no other reason than when
758731,AAPL,09/03/2017,Warren Buffett Isn&#39;t Trying to Beat the Market,If you re expecting high returns from Berkshire Hathaway s NYSE BRK A NYSE BRK B stock portfolio you may want to pay attention to what Charlie Munger has to say and then carefully reconsider your assumption At the recent Daily Journal meeting Warren Buffett s
758797,AAPL,09/03/2017,"Noteworthy Thursday Option Activity: GOOGL, AAPL, NFLX",Looking at options trading activity among components of the S amp P 500 index there is noteworthy activity today in Alphabet Inc Symbol GOOGL where a total volume of 24 107 contracts has been traded thus far today a contract volume which is representative of approximately 2 4
758767,AAPL,09/03/2017,American International Group Inc (AIG) CEO Fired for Doing His Job,InvestorPlace Stock Market News Stock Advice amp Trading Tips When a CEO is made to walk the plank under the orders of a big investor middle aged men get as giddy as schoolgirls dishing on a Hollywood starlet s failing marriage 160 The resignation of American International
